,id,text,time stamp
582,@konotaromp,"A massive earthquake has hit Ishikawa Prefecture. A large tsunami warning has been issued for Ishikawa Prefecture. Tsunami warnings were also issued for Niigata, Toyama, Yamagata, Fukui and Hyogo prefectures on the Japan Sea coast.",01-01-2024
583,@NHKWORLD_News,"A massive magnitude-. earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. People in those areas must evacuate immediately. For updates, visit",01-01-2024
584,@NHKWORLD_News,"A massive magnitude-. earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. People in those areas must evacuate immediately. Visit for updates",01-01-2024
585,@NHKWORLD_News,Officials of Ishikawa Prefectures Suzu City say they have confirmed several houses and power poles have collapsed following a magnitude . quake Monday afternoon.,01-01-2024
588,@record_mexico,"MUCHA FUERZA! Tras transcurrir las primeras horas del a las horas hora local, un fuerte terremoto sacudio toda la costa de Ishikawa, lugar del epicentro. Aqui los detalles",01-01-2024
589,@dw_espanol,"Alerta de Tsunami en Japon Las autoridades japonesas piden a la poblacion evacuar toda la costa occidental por una serie de fuertes terremotos, con uno de , grados en Ishikawa incluido lgc Haga clic para mas informacion",01-01-2024
590,@lopezdoriga,"Terremoto magnitud . golpeo la prefectura de Ishikawa, en el litoral occidental de Japon, y activo una alerta por tsunami en buena parte del archipielago, ademas de causar importantes danos y dejar sepultadas al menos a seis personas bajo los escombros",01-01-2024
662,@FreeAll_protest,"Electric poles are falling as earthquake warning alerts ring out in the Noto region of Ishikawa Prefecture, Japan. seismic intensity ,",01-01-2024
673,@RochexRB27,"JAPON URGENTE Imagenes de como se percibio el sismo de magnitud . que se registro en la region Noto, Prefectura de Ishikawa. Hay alerta de tsunami. RochexRB earthquake Terremoto Temblor Japan",01-01-2024
696,@RochexRB27,"URGENTE Sismo de magnitud . sacude la costa de Japon. El movimiento telurico se registro en la region Noto, Prefectura de Ishikawa. earthquake Terremoto Temblor Japan",01-01-2024
702,@CarolineCoramUK,"Significant repeating earthquake activity in the Noto Ishikawa region of Japan One of our trackers Calamity Jane on SkyEarth has been picking up continued high levels of gridding over Japan for the last month, possibly longer. This has largely been in this central Japan area",01-01-2024
755,@waccawheels,"ONGOING EARTHQUAKETSUNAMI IN NOTO REGION, JAPAN Earthquake may recur for several days, can become stronger. Tsunami on the west coast Sea of JapanEast Sea of Korea reaches QUICKLY. Please be alert and MILES AWAY from the ocean and river mouths if youre in the region.",01-01-2024
774,@odishabhaskar,Japan Downgrades Major Tsunami Warning To Tsunami Warning For Noto Region Japan Tsunami Earthquake Ishikawa JapanTsunami JapanEarthquake SeismicActivity Russia Korea BreakingNews Sismo NotoRegion,01-01-2024
781,@notimundoec,"URGENTE Un terremoto de magnitud . sacudio este de enero a Japon. El epicentro se registro en la peninsula de Noto. En varios sectores del pais se emitio la alerta de tsunami, y se registran cortes de energia.",01-01-2024
783,@KidNqv,"Around PM on the st, a powerful earthquake with a maximum intensity of was observed in Ishikawa Prefecture. According to the Japan Meteorological Agency, the epicenter was in the Noto region of Ishikawa Prefecture, with an extremely shallow depth. The magnitude of the",01-01-2024
784,@FREEDOMWWGIWGA,"A . magnitude earthquake in Japan generated a tsunami, power outages and landslides that left people trapped There were earthquakes in minutes and the strongest had its epicenter in Noto, in Ishikawa. They caused fires and massive power outages,",01-01-2024
