text,date
breaking rd earthquake hits magnitude,2023-02-06 13:14:54+00:00
mercy oh lord,2023-02-06 13:14:54+00:00
happening right also preparedness critical,2023-02-06 13:14:56+00:00
heart people turkiye condolences lost loved ones tragic earthquake may allah give strength face musiba inaa lilaahi wa inaa ilayhi raajucuun,2023-02-06 13:14:56+00:00
utc depth km turkeysource gfzpotsdam,2023-02-06 13:14:59+00:00
heart crying muslim brothers sisters suffered due devastating turkey sending duas best wishes pakistan,2023-02-06 13:15:01+00:00
new n several neighboring countries devastating huge loss life several cities wiped,2023-02-06 13:15:07+00:00
major earthquake magnitude struck central turkiye northwest syria monday killing people injuring hundreds buildings collapsed across region triggering searches survivors rubble,2023-02-06 13:15:07+00:00
thoughts prayers turkey affected earthquake,2023-02-06 13:15:08+00:00
god bless turkish syrian people,2023-02-06 13:15:11+00:00
last hrs rest,2023-02-06 13:15:14+00:00
another earthquake magnitude strikes central turkey says usgsthis third earthquake two powerful earthquakes less hours ani,2023-02-06 13:15:20+00:00
deprem hatay,2023-02-06 13:15:22+00:00
strikes km n min ago info,2023-02-06 13:15:23+00:00
another earthquake magnitude strikes central turkeythis third earthquake two powerful earthquakes less hours,2023-02-06 13:15:24+00:00
another one,2023-02-06 13:15:26+00:00
feel god put earthquakes snooze mode,2023-02-06 13:15:29+00:00
per anadolu news agency currently threat eastern mediterranean sea following two strong earthquakes rattled southern follow live blog updates,2023-02-06 13:15:31+00:00
another magnitude earthquake hit central turkey followed minutes later strong magnitude aftershock,2023-02-06 13:15:32+00:00
hours monday mornings devastating magnitude earthquake struck turkeysyria border area leaving least dead amp syria another powerful magnitude recorded turkey reports said,2023-02-06 13:15:32+00:00
trkiye declared fourth level alert state level alarm condition includes international call help around world reading message people rubble earthquake country need help saved,2023-02-06 13:15:36+00:00
hearts pray god grant mercy heal wounded,2023-02-06 13:15:36+00:00
scary rd earthquake today turkeygod please mercy,2023-02-06 13:15:37+00:00
may sound skeptical opinion turkey earthquakes artificially triggeredmay allah mercy brethren,2023-02-06 13:15:41+00:00
horrifying day turkey,2023-02-06 13:15:44+00:00
totally unimaginable,2023-02-06 13:15:45+00:00
visuals turkey syria scaryprayers turkey syria,2023-02-06 13:15:47+00:00
trkiye declared fourth level alert state level alarm condition includes international call help around world reading message people rubble earthquake country need help saved,2023-02-06 13:15:48+00:00
thanks information still pray,2023-02-06 13:15:48+00:00
saddest part natural calamities criminals pick take away children found alone orphaned trafficking thats horrific part,2023-02-06 13:15:50+00:00
way people around world send help sending foodwater hygiene products anything else please inform us spread,2023-02-06 13:15:58+00:00
powerful rocks kills,2023-02-06 13:16:02+00:00
may allah almighty help turkish brothers turkish brothers difficult time,2023-02-06 13:16:13+00:00
people killed thousands injured massive earthquake struck southeastern turkey northern syria early monday epa,2023-02-06 13:16:14+00:00
lets pray turkey christian atsu praying atsu,2023-02-06 13:16:15+00:00
thoughts prayers go affected devastating earthquakes turkey today stay safe everyone,2023-02-06 13:16:18+00:00
frank hoogerbeets researcher netherlands predicted earthquake turkey days occurred,2023-02-06 13:16:25+00:00
back back two jolts central ausing huge catastrophe already badly affected earthquakes reportedly thn people dead billions worth infrastructure destroyed,2023-02-06 13:16:27+00:00
trkiye another powerful magnitudea storey building heavily damaged collapsed,2023-02-06 13:16:41+00:00
morning headlines mark nation shall rise nation kingdom kingdom shall earthquakes divers places shall famines troubles beginnings sorrows,2023-02-06 13:16:45+00:00
another magnitude earthquake jolts country,2023-02-06 13:16:45+00:00
deeply saddened see whats happening turkey syria affected areas due earthquake may enough followers hope people safe allah give comfort terrible time,2023-02-06 13:16:47+00:00
huge destruction turkey world unite help turkey,2023-02-06 13:16:51+00:00
