text,date,processed_text
"That’s a “Maybach 6 Cabriolet”….. I pray that your life becomes so easy that will be a 2nd or 3rd car in your garage.. 🥰🥰🥰Please follow,I follow back too…Man City | Yvonne | Opay | Yobe | Apologize | Obi and Atiku | Turkey | May Allah | Deborah    ",2023-02-07 13:00:45+00:00,that maybach cabriolet pray that your life becomes so easy that will be nd or rd car in your garage please follow follow back too man city yvonne opay yobe apologize obi and atiku turkey may allah deborah 
Please help your brothers and sisters.Humanity has no religion. Please don't stop they really need our help.  ,2023-02-07 13:01:04+00:00,please help your brothers and sisters humanity has no religion please don stop they really need our help 
"Little girl, Raghad Ismail, from the Syrian city of  became orphan after all her family members died under the ruins of their house destroyed by the She was the only one who got out after 5 hours under the rubble.      ",2023-02-07 13:01:21+00:00,little girl raghad ismail from the syrian city of became orphan after all her family members died under the ruins of their house destroyed by the she was the only one who got out after hours under the rubble 
"After the  earthquake, the fire in the  Port continues.   ",2023-02-07 13:01:21+00:00,after the earthquake the fire in the port continues 
““But blessed are those who trust in the Lord and have made the Lord their hope and confidence.”Jeremiah 17:7 NLT     Turquia  OHAL Başınız   ,2023-02-07 13:01:23+00:00, but blessed are those who trust in the lord and have made the lord their hope and confidence jeremiah nlt turquia ohal başınız 
 earthquake rescue efforts continue as death toll rises; relief pours in from across the world. Watch this ground report by  from Adana.  Full video of  with  -  ,2023-02-07 13:01:28+00:00, earthquake rescue efforts continue as death toll rises relief pours in from across the world watch this ground report by from adana full video of with 
 ( M3.9 strikes 44 km SW of  ( 20 min ago. More info: ,2023-02-07 13:01:31+00:00, strikes km sw of min ago more info 
🔔 ( M3.9 occurred 8 km NW of  ( 21 min ago (local time 15:41:33). More info at:📱🌐🖥 ,2023-02-07 13:02:09+00:00, occurred km nw of min ago local time smile more info at 
Stop sanction on Syria. Tgey need help. 🙏🙏🙏🙏🙏😥😥😥 ,2023-02-07 13:02:30+00:00,stop sanction on syria tgey need help 
Earthquake of magnitude 7.7 strikes Turkey. First Chinese social rescue force sets out!      ,2023-02-07 13:02:39+00:00,earthquake of magnitude strikes turkey first chinese social rescue force sets out 
"The  shows humanity at its best. The nations of the world come together in their offers of aid. Neighbours work tirelessly through the night to help rescue survivors.We mourn, together as one people, irrespective of race or religion.This is our future. Unity.",2023-02-07 13:02:46+00:00,the shows humanity at its best the nations of the world come together in their offers of aid neighbours work tirelessly through the night to help rescue survivors we mourn together as one people irrespective of race or religion this is our future unity 
"Lives lost, children missing, homes turned into tombs, officials – heartbroken at the scale of the disaster, Despair. Smiles, we'll never see again, dreams which will never come true - all buried under the rubble! Please God, send help!     ",2023-02-07 13:02:49+00:00,lives lost children missing homes turned into tombs officials heartbroken at the scale of the disaster despair smiles we will never see again dreams which will never come true all buried under the rubble please god send help 
Nature sends warning in its own possible ways but we humans are in a habit of ignoring Nature &amp; its importance   ,2023-02-07 13:02:51+00:00,nature sends warning in its own possible ways but we humans are in habit of ignoring nature amp its importance 
Arrived in Adana early this morning. Planning operations in the area that will be assigned to us... 🙏💫   ,2023-02-07 13:03:07+00:00,arrived in adana early this morning planning operations in the area that will be assigned to us 
Step by step reaching closer ⭐ .....        ,2023-02-07 13:03:08+00:00,step by step reaching closer 
Prayers for  turkey  ,2023-02-07 13:03:13+00:00,prayers for turkey 
